Address,City,original_price,lot_size_m2,living_space_m2,build_year,build_type,house_type,roof_type,rooms,toilet,floors,energy_label,position,garden,neighborhood_price_per_m2,price_cleaned,living_space_cleaned,lot_size_cleaned,bedrooms,total_rooms,house_type_cleaned,garden_type,price_per_sqm
Witte Ring 65,Assendelft,€ 469.000,146 m²,130 m²,2014.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.455,469000.0,130.0,146.0,4.0,5,Eengezinswoning,Back Garden,3607.6923076923076
De Weem 2,Westervoort,€ 549.500,479 m²,148 m²,,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,E,Aan rustige weg en beschutte ligging,"Achtertuin, tuin rondom, voortuin en zijtuin",5.935,549500.0,148.0,479.0,4.0,5,Bungalow,Back Garden,3712.837837837838
Zwarte Ring 83,Assendelft,€ 450.000,116 m²,122 m²,2006.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,9.455,450000.0,122.0,116.0,4.0,5,Eengezinswoning,Back Garden,3688.5245901639346
Selzerbeek 15,Zaandam,€ 399.000,122 m²,114 m²,1976.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,6.190,399000.0,114.0,122.0,3.0,4,Eengezinswoning,Back Garden,3500.0
Argostraat 22,Eindhoven,€ 325.000,157 m²,124 m²,1962.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.330,325000.0,124.0,157.0,4.0,5,Eengezinswoning,Back Garden,2620.967741935484
Rijksstraatweg 109,Heemskerk,€ 725.000,583 m²,122 m²,1935.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk en vrij uitzicht,Achtertuin en voortuin,310,725000.0,122.0,583.0,4.0,5,Eengezinswoning,Back Garden,5942.622950819672
Tak van Poortvlietstraat 2 a,Zutphen,€ 385.000,119 m²,127 m²,2015.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met pannen,5 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Beschutte ligging en in woonwijk,Achtertuin en voortuin,1.225,385000.0,127.0,119.0,5.0,5,Eengezinswoning,Back Garden,3031.496062992126
Hillegommerdijk 355 a,Beinsdorp,€ 550.000,290 m²,125 m²,2008.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een vliering,B,Aan drukke weg en aan water,Achtertuin en voortuin,915,550000.0,125.0,290.0,3.0,4,Eengezinswoning,Back Garden,4400.0
Glazenmaker 8,Oost West en Middelbeers,€ 550.000,310 m²,167 m²,1994.0,Bestaande bouw,"Herenhuis, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.725,550000.0,167.0,310.0,4.0,6,Herenhuis,Back Garden,3293.4131736526947
Mars 5,Schijndel,€ 549.000,284 m²,190 m²,1999.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,8 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,1.985,549000.0,190.0,284.0,5.0,8,Eengezinswoning,Back Garden,2889.4736842105262
Bergmolen 47,Alphen aan den Rijn,€ 350.000,140 m²,110 m²,1988.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,,Achtertuin,2.220,350000.0,110.0,140.0,4.0,5,Eengezinswoning,Back Garden,3181.818181818182
Ridderhoflaan 91,Koudekerk aan den Rijn,€ 440.000,134 m²,148 m²,1970.0,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin,1.780,440000.0,148.0,134.0,3.0,4,Eengezinswoning,Back Garden,2972.972972972973
Johannes Husslaan 11,Amstelveen,€ 500.000,144 m²,113 m²,1960.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,"Aan park, aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,2.155,500000.0,113.0,144.0,5.0,6,Eengezinswoning,Back Garden,4424.778761061947
Straatweide 2,Prinsenbeek,€ 825.000,608 m²,186 m²,2000.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,,Achtertuin en voortuin,11.035,825000.0,186.0,608.0,4.0,5,Eengezinswoning,Back Garden,4435.4838709677415
Kooikersdreef 705,Apeldoorn,€ 359.500,175 m²,142 m²,1973.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.220,359500.0,142.0,175.0,4.0,5,Eengezinswoning,Back Garden,2531.6901408450703
Janneke van der Plaatstraat 9,Zutphen,€ 250.000,173 m²,84 m²,1995.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.805,250000.0,84.0,173.0,3.0,4,Eengezinswoning,Back Garden,2976.190476190476
Landmetersveld 803,Apeldoorn,€ 325.000,212 m²,98 m²,1980.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.760,325000.0,98.0,212.0,4.0,5,Eengezinswoning,Back Garden,3316.326530612245
Moggendries 30,Eindhoven,€ 350.000,184 m²,108 m²,1974.0,Bestaande bouw,"Eengezinswoning, eindwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",3.990,350000.0,108.0,184.0,3.0,4,Eengezinswoning,Back Garden,3240.740740740741
Zeeweg 202,IJmuiden,€ 395.000,139 m²,104 m²,1923.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,"Aan drukke weg, in woonwijk en open ligging",Achtertuin en voortuin,745,395000.0,104.0,139.0,5.0,6,Eengezinswoning,Back Garden,3798.076923076923
Eikelaar 4,Geldrop,€ 365.000,185 m²,125 m²,1967.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,2.030,365000.0,125.0,185.0,4.0,5,Eengezinswoning,Back Garden,2920.0
Boomstede 33,Maarssen,€ 409.000,147 m²,118 m²,1975.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.680,409000.0,118.0,147.0,4.0,5,Eengezinswoning,Back Garden,3466.101694915254
De Wildert 18,Berkel en Rodenrijs,€ 385.000,157 m²,109 m²,1964.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,1.950,385000.0,109.0,157.0,4.0,5,Eengezinswoning,Back Garden,3532.1100917431195
Otellostraat 6,Spijkenisse,€ 325.000,106 m²,98 m²,1984.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.925,325000.0,98.0,106.0,4.0,5,Eengezinswoning,Back Garden,3316.326530612245
Ambrosiushof 47,Haarsteeg,€ 450.000,210 m²,126 m²,1997.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.255,450000.0,126.0,210.0,4.0,5,Eengezinswoning,Back Garden,3571.4285714285716
Runde 40,Assen,€ 185.000,165 m²,70 m²,1962.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.455,185000.0,70.0,165.0,3.0,4,Eengezinswoning,Back Garden,2642.8571428571427
Paukeslag 142,Etten-Leur,€ 275.000,166 m²,110 m²,1974.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,Achtertuin en voortuin,565,275000.0,110.0,166.0,3.0,5,Eengezinswoning,Back Garden,2500.0
Herfststraat 3,Amsterdam,€ 350.000,144 m²,75 m²,1964.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,1.620,350000.0,75.0,144.0,3.0,4,Eengezinswoning,Back Garden,4666.666666666667
Sweelinckstraat 53,Numansdorp,€ 345.000,156 m²,115 m²,1977.0,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,7.665,345000.0,115.0,156.0,3.0,5,Eengezinswoning,Back Garden,3000.0
Asserpark 4,Wageningen,€ 315.000,142 m²,70 m²,1960.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,E,In woonwijk,Achtertuin en voortuin,2.975,315000.0,70.0,142.0,3.0,4,Eengezinswoning,Back Garden,4500.0
Bouvigne 15,Den Bosch,€ 389.000,141 m²,121 m²,1979.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.385,389000.0,121.0,141.0,3.0,4,Eengezinswoning,Back Garden,3214.876033057851
Loenerveld 62,Nieuw-Vennep,€ 760.000,304 m²,149 m²,2001.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een vliering,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.015,760000.0,149.0,304.0,5.0,7,Eengezinswoning,Back Garden,5100.6711409395975
Meers 5,Geldrop,€ 385.000,287 m²,123 m²,1961.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,"Aan rustige weg, beschutte ligging en in bosrijke omgeving","Achtertuin, voortuin en zijtuin",3.190,385000.0,123.0,287.0,4.0,5,Eengezinswoning,Back Garden,3130.081300813008
Overslaggronden 15,Kampen,€ 525.000,284 m²,175 m²,2004.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,3.585,525000.0,175.0,284.0,5.0,7,Eengezinswoning,Back Garden,3000.0
Bakemastraat 7,Amersfoort,€ 410.000,133 m²,116 m²,1990.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",1.690,410000.0,116.0,133.0,5.0,6,Eengezinswoning,Back Garden,3534.4827586206898
Van Oldenbarneveltstraat 46,Nijkerk,€ 350.000,171 m²,118 m²,1972.0,Bestaande bouw,"Eengezinswoning, tussenwoning (hofjeswoning)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,1.615,350000.0,118.0,171.0,4.0,5,Eengezinswoning,Back Garden,2966.101694915254
Lookhof 1,Angeren,€ 399.000,280 m²,142 m²,1985.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,"Achtertuin, voortuin en zijtuin",2.275,399000.0,142.0,280.0,2.0,4,Eengezinswoning,Back Garden,2809.8591549295775
Het Kasteel 216,Apeldoorn,€ 349.500,196 m²,119 m²,1995.0,Bestaande bouw,"Bungalow, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,6.095,349500.0,119.0,196.0,3.0,5,Bungalow,Back Garden,2936.9747899159665
Het Rinket 6,Meerstad,€ 575.000,368 m²,142 m²,2020.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",410,575000.0,142.0,368.0,4.0,5,Eengezinswoning,Back Garden,4049.2957746478874
Spoorstraat 126,Leeuwarden,€ 225.000,139 m²,106 m²,1910.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,In woonwijk,Achtertuin en voortuin,2.420,225000.0,106.0,139.0,3.0,4,Eengezinswoning,Back Garden,2122.6415094339623
Uiterdijkenweg 47 A,Marknesse,€ 329.500,2.370 m²,90 m²,1956.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,"Buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",995,329500.0,90.0,2.37,3.0,4,Eengezinswoning,Back Garden,3661.1111111111113
Rijnsburgerweg 94,Leiden,€ 875.000,278 m²,223 m²,1910.0,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een vliering,D,Beschutte ligging en in woonwijk,Achtertuin en voortuin,1.200,875000.0,223.0,278.0,4.0,8,Herenhuis,Back Garden,3923.7668161434976
Sportlaan 31,Werkendam,€ 550.000,929 m²,159 m²,1969.0,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan drukke weg en in woonwijk,Tuin rondom,1.530,550000.0,159.0,929.0,3.0,4,Bungalow,Other Garden,3459.119496855346
Hertenkamp 21,Tholen,€ 525.000,572 m²,189 m²,1934.0,Bestaande bouw,"Villa, vrijstaande woning",Tentdak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,In woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",7.710,525000.0,189.0,572.0,5.0,6,Villa,Back Garden,2777.777777777778
Havikhorst 87,Roermond,€ 425.000,710 m²,144 m²,1988.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",3.335,425000.0,144.0,710.0,4.0,7,Eengezinswoning,Back Garden,2951.3888888888887
Boerenhoek 87,Hoogvliet Rotterdam,€ 275.000,144 m²,99 m²,1979.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,In woonwijk,Achtertuin en voortuin,22.330,275000.0,99.0,144.0,4.0,5,Eengezinswoning,Back Garden,2777.777777777778
Veldkampje 1,Dalfsen,€ 490.000,715 m²,135 m²,1991.0,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,C,Aan rustige weg en in woonwijk,Tuin rondom,540,490000.0,135.0,715.0,4.0,5,Bungalow,Other Garden,3629.6296296296296
Leeuwerik 7,Bergambacht,€ 350.000,116 m²,92 m²,1984.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.270,350000.0,92.0,116.0,3.0,4,Eengezinswoning,Back Garden,3804.3478260869565
Boomgaard 9,Schoonhoven,€ 500.000,128 m²,156 m²,1998.0,Bestaande bouw,"Eengezinswoning, geschakelde woning (kwadrant woning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Voortuin,3.670,500000.0,156.0,128.0,3.0,5,Eengezinswoning,Front Garden,3205.128205128205
Bogerdweg 24,Dreischor,€ 389.000,680 m²,106 m²,1937.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en beschutte ligging,Achtertuin,765,389000.0,106.0,680.0,2.0,4,Eengezinswoning,Back Garden,3669.811320754717
Rochtstraat 6,Sleen,€ 298.000,490 m²,124 m²,1964.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,2.120,298000.0,124.0,490.0,4.0,5,Eengezinswoning,Back Garden,2403.2258064516127
Haarskamp 69,Ruurlo,€ 1.299.069,3.910 m²,391 m²,2002.0,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, open ligging en vrij uitzicht",Tuin rondom,270,1299069.0,391.0,3.91,5.0,8,Landhuis,Other Garden,3322.4271099744246
Kastanjelaan 27,Lochem,€ 550.000,386 m²,199 m²,1903.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,F,Aan rustige weg en in woonwijk,Achtertuin,,550000.0,199.0,386.0,4.0,8,Eengezinswoning,Back Garden,2763.819095477387
Bladgroen 34,Zoetermeer,€ 350.000,124 m²,101 m²,1988.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,In woonwijk,Achtertuin en voortuin,12.510,350000.0,101.0,124.0,4.0,5,Eengezinswoning,Back Garden,3465.3465346534654
Willem-Alexanderstraat 24,Duiven,€ 550.000,375 m²,161 m²,1989.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,In woonwijk,"Achtertuin, voortuin en zijtuin",865,550000.0,161.0,375.0,5.0,6,Eengezinswoning,Back Garden,3416.1490683229813
Bosstraat 3,Swalmen,€ 325.000,310 m²,129 m²,1920.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,10 kamers (3 slaapkamers),2 badkamers,"2 woonlagen, een zolder en een kelder",D,In woonwijk,Achtertuin en zijtuin,2.575,325000.0,129.0,310.0,3.0,10,Eengezinswoning,Back Garden,2519.3798449612405
Hoofdstraat 25,Sint Jansteen,€ 389.500,379 m²,286 m²,1792.0,Bestaande bouw,"Herenhuis, halfvrijstaande woning",Samengesteld dak bedekt met leisteen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",G,In centrum,,1.550,389500.0,286.0,379.0,4.0,6,Herenhuis,No Garden,1361.8881118881118
Olieslagweg 96,Enschede,€ 219.000,209 m²,85 m²,1960.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,4.230,219000.0,85.0,209.0,3.0,4,Eengezinswoning,Back Garden,2576.470588235294
Douwelaan 2 C,Oentsjerk,€ 395.000,297 m²,140 m²,2008.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in bosrijke omgeving,"Achtertuin, voortuin en zonneterras",1.885,395000.0,140.0,297.0,3.0,4,Eengezinswoning,Back Garden,2821.4285714285716
Karrevracht 6,Uden,€ 539.000,311 m²,152 m²,1998.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.900,539000.0,152.0,311.0,4.0,5,Eengezinswoning,Back Garden,3546.0526315789475
Valeriusstraat 50,Almelo,€ 242.500,152 m²,122 m²,1967.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,955,242500.0,122.0,152.0,4.0,7,Eengezinswoning,Back Garden,1987.704918032787
Rederijkershoeve 115,Apeldoorn,€ 399.000,248 m²,113 m²,1982.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.715,399000.0,113.0,248.0,4.0,5,Eengezinswoning,Back Garden,3530.973451327434
Parkwijklaan 205,Almere,€ 450.000,154 m²,131 m²,1997.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.615,450000.0,131.0,154.0,3.0,4,Eengezinswoning,Back Garden,3435.114503816794
Weegbree 27,Gendringen,€ 275.000,200 m²,135 m²,1981.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.725,275000.0,135.0,200.0,4.0,5,Eengezinswoning,Back Garden,2037.037037037037
Max Havelaarburg 19,Capelle aan den IJssel,€ 450.000,142 m²,128 m²,1982.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,A,"Aan park, aan water, beschutte ligging en in woonwijk",Achtertuin en voortuin,1.450,450000.0,128.0,142.0,4.0,5,Eengezinswoning,Back Garden,3515.625
Ridder van Asenrodeweg 53,Roermond,€ 250.000,230 m²,112 m²,1969.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,765,250000.0,112.0,230.0,3.0,5,Eengezinswoning,Back Garden,2232.1428571428573
De Nieuwesluis 15 b,Zwartsluis,€ 360.000,142 m²,104 m²,1996.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,B,"Aan vaarwater, aan water en in woonwijk",Achtertuin,805,360000.0,104.0,142.0,2.0,3,Eengezinswoning,Back Garden,3461.5384615384614
Doornseweg 18,Langbroek,€ 397.500,195 m²,102 m²,1875.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Open ligging en vrij uitzicht,Achtertuin,1.710,397500.0,102.0,195.0,2.0,3,Eengezinswoning,Back Garden,3897.0588235294117
Schans 4,Oost-Souburg,€ 685.000,523 m²,170 m²,2000.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Tuin rondom,2.160,685000.0,170.0,523.0,4.0,5,Eengezinswoning,Other Garden,4029.4117647058824
