Address,City,original_price,lot_size_m2,living_space_m2,build_year,build_type,house_type,roof_type,rooms,toilet,floors,energy_label,position,garden,neighborhood_price_per_m2,price_cleaned,living_space_cleaned,lot_size_cleaned,bedrooms,total_rooms,house_type_cleaned,garden_type,price_per_sqm
Bouwhuisweg 10,Nieuwleusen,€ 560.000,2.510 m²,129 m²,1967.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen,E,"Aan rustige weg, beschutte ligging, buiten bebouwde kom, in woonwijk, landelijk gelegen en vrij uitzicht",Tuin rondom,1.440,560000.0,129.0,2.51,3.0,4,Eengezinswoning,Other Garden,4341.085271317829
Kerkstraat 20,Linden,€ 425.000,560 m²,99 m²,1965.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Vrij uitzicht,Achtertuin,220,425000.0,99.0,560.0,4.0,5,Eengezinswoning,Back Garden,4292.929292929293
Kanariehof 25,Ermelo,€ 415.000,191 m²,131 m²,1974.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,6.160,415000.0,131.0,191.0,4.0,5,Eengezinswoning,Back Garden,3167.93893129771
Vlasven 33,Veghel,€ 310.000,82 m²,80 m²,2012.0,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.045,310000.0,80.0,82.0,2.0,4,Eengezinswoning,Back Garden,3875.0
Mozartdreef 24,Veenendaal,€ 525.000,280 m²,131 m²,1990.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,2.590,525000.0,131.0,280.0,3.0,4,Eengezinswoning,Back Garden,4007.6335877862593
Waardenborchstraat 28,Holten,€ 289.000,333 m²,89 m²,1963.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg en in woonwijk,Tuin rondom,2.850,289000.0,89.0,333.0,3.0,5,Eengezinswoning,Other Garden,3247.191011235955
Schrijvershoeve 22,Helmond,€ 385.000,140 m²,119 m²,2017.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.035,385000.0,119.0,140.0,4.0,5,Eengezinswoning,Back Garden,3235.294117647059
Vinkenbaan 5,Gilze,€ 325.000,134 m²,106 m²,2009.0,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.286,325000.0,106.0,134.0,3.0,4,Eengezinswoning,Back Garden,3066.0377358490564
Sierra Nevada 70,Assendelft,€ 485.000,130 m²,126 m²,2008.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.455,485000.0,126.0,130.0,4.0,5,Eengezinswoning,Back Garden,3849.2063492063494
Culenhof 48,Nuenen,€ 335.000,135 m²,91 m²,2009.0,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning (kwadrant woning)",Lessenaardak bedekt met metaal,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,825,335000.0,91.0,135.0,3.0,5,Eengezinswoning,Back Garden,3681.3186813186812
